melbourne_housing
Suburb,Rooms,Type,Price,SellerG,Date,Postcode,Bathroom,Landsize,BuildingArea,Lattitude,Longtitude
Albert Park,4,h,2140000,Greg,27/06/2016,3206,2,183,145,-37.8434,144.9495
Albert Park,2,h,1750000,Marshall,27/11/2016,3206,1,162,,-37.8416,144.9488
Albert Park,2,h,980000,Greg,28/05/2016,3206,1,79,68,-37.8387,144.9519
Albert Park,3,h,2030000,hockingstuart,28/08/2016,3206,2,152,,-37.8488,144.9551
Albert Park,3,h,1740000,Marshall,28/08/2016,3206,2,147,134,-37.8448,144.9453
Albert Park,3,h,2800000,Buxton,30/07/2016,3206,3,0,,-37.8399,144.9577
Albert Park,1,h,985000,Marshall,30/07/2016,3206,1,81,54,-37.8411,144.9497
Alphington,4,h,2000000,Brace,3/9/2016,3078,2,853,263,-37.7707,145.0318
Alphington,3,h,1110000,Jellis,3/9/2016,3078,2,208,,-37.7854,145.0325
Alphington,3,h,1492000,Jellis,4/3/2017,3078,2,411,,-37.7713,145.0279
Alphington,4,h,1717500,Collins,8/10/2016,3078,2,599,203,-37.7717,145.031
Alphington,5,h,2840000,Nelson,12/6/2016,3078,4,809,165,-37.775,145.0268
Alphington,2,u,525500,Miles,12/11/2016,3078,1,88,60,-37.7791,145.0306
Alphington,2,t,805000,Miles,12/11/2016,3078,2,155,140,-37.7804,145.0308
Alphington,2,u,465000,McGrath,12/11/2016,3078,1,0,,-37.7773,145.0314
Alphington,3,h,2000000,hockingstuart,15/10/2016,3078,3,686,,-37.78,145.0341
Alphington,3,h,1540000,Nelson,16/04/2016,3078,1,592,,-37.7755,145.0288
Alphington,2,u,820000,Nelson,18/03/2017,3078,1,183,,-37.7747,145.0264
Alphington,4,h,1830000,Nelson,19/11/2016,3078,2,606,112,-37.7743,145.0316
Alphington,4,h,2100000,Nelson,19/11/2016,3078,2,575,271,-37.7723,145.0319
Alphington,3,h,865000,hockingstuart,22/05/2016,3078,1,180,131,-37.7802,145.0243
Alphington,2,u,390000,Nelson,22/05/2016,3078,1,0,60,-37.7773,145.0314
Alphington,2,t,650000,Brace,24/09/2016,3078,1,0,,-37.7848,145.025
Alphington,2,u,512000,Love,25/02/2017,3078,1,0,61,-37.7805,145.0262
Alphington,3,h,1165000,Barry,27/06/2016,3078,1,979,,-37.7792,145.029
Alphington,4,h,1900000,McGrath,27/11/2016,3078,2,556,272,-37.7844,145.0225
Alphington,3,h,1485000,McGrath,28/08/2016,3078,0,597,,-37.7781,145.0284
Alphington,4,h,1950000,Jellis,30/07/2016,3078,2,589,210,-37.7719,145.0309
Altona,3,h,520000,Greg,3/9/2016,3018,2,352,242,-37.87,144.825
Altona,5,h,1525000,Greg,3/12/2016,3018,3,729,268,-37.8721,144.8105
Altona,2,t,720000,hockingstuart,4/2/2016,3018,1,292,125,-37.8687,144.8197
Altona,3,h,1120000,Barlow,4/3/2017,3018,1,506,120,-37.8693,144.8375
Altona,4,h,780000,Sweeney,4/6/2016,3018,1,655,,-37.868,144.8154
Altona,4,h,1780000,Greg,4/6/2016,3018,3,1057,220,-37.8681,144.819
Altona,3,u,630000,Barlow,6/8/2016,3018,1,311,94,-37.8702,144.8143
Altona,2,u,406000,hockingstuart,6/8/2016,3018,1,65,,-37.8693,144.8171
Altona,3,h,660000,Greg,7/5/2016,3018,1,602,123,-37.8616,144.8116
Altona,3,h,683500,Greg,7/11/2016,3018,1,530,,-37.8594,144.817
Altona,2,u,580000,Barlow,8/10/2016,3018,1,225,93,-37.8696,144.827
Altona,3,h,1335000,hockingstuart,8/10/2016,3018,1,777,22,-37.8697,144.8249
Altona,3,t,800000,hockingstuart,8/10/2016,3018,2,280,,-37.8734,144.8143
Altona,2,u,510000,Village,10/9/2016,3018,1,127,76,-37.8686,144.8182
Altona,4,h,1070000,Barlow,10/9/2016,3018,2,695,,-37.8733,144.8147
Altona,2,u,425000,hockingstuart,10/9/2016,3018,1,115,57,-37.871,144.8185
Altona,3,u,605000,Jas,10/12/2016,3018,2,230,,-37.8646,144.827
Altona,3,t,705000,hockingstuart,11/2/2017,3018,2,197,152,-37.8579,144.8181
Altona,2,u,391000,Greg,11/2/2017,3018,1,0,65,-37.8678,144.8384
Altona,2,u,440000,hockingstuart,11/2/2017,3018,1,0,,-37.8659,144.831
Altona,4,h,845000,hockingstuart,11/2/2017,3018,1,745,130,-37.8658,144.8155
Altona,3,t,743000,Gunn&Co,12/11/2016,3018,2,211,176,-37.8698,144.816
Altona,3,u,730000,Barlow,13/08/2016,3018,2,69,141,-37.868,144.8286
Altona,3,h,635000,Sweeney,14/05/2016,3018,1,625,,-37.8611,144.8114
Altona,2,u,620000,hockingstuart,14/05/2016,3018,1,168,,-37.8676,144.8202
Altona,2,u,447000,Burnham,15/10/2016,3018,1,137,77,-37.8655,144.8299
Altona,3,u,730000,Barlow,16/04/2016,3018,2,70,,-37.868,144.8287
Altona,3,h,678000,hockingstuart,16/04/2016,3018,1,606,87,-37.8608,144.8124
Altona,2,u,580000,Biggin,16/07/2016,3018,2,175,76,-37.8687,144.8268
Altona,3,h,712000,hockingstuart,17/09/2016,3018,1,363,,-37.8674,144.8375
Altona,3,h,840000,Greg,18/03/2017,3018,2,534,136,-37.86,144.8245
Altona,3,h,980000,Barlow,19/11/2016,3018,1,724,,-37.8672,144.817
Altona,3,t,605100,hockingstuart,22/05/2016,3018,2,265,,-37.8583,144.8172
Altona,3,h,880000,Barlow,22/08/2016,3018,3,577,,-37.8699,144.8235
Altona,3,u,577000,Williams,23/04/2016,3018,2,205,113,-37.8684,144.815
Altona,4,h,1030000,Barlow,25/02/2017,3018,1,797,,-37.8663,144.8387
Altona,3,u,605000,Barlow,25/02/2017,3018,1,181,,-37.8659,144.822
Altona,3,h,753000,Barlow,27/06/2016,3018,2,529,,-37.8612,144.8247
Altona,2,h,857000,hockingstuart,27/11/2016,3018,2,675,100,-37.8653,144.8129
Altona,3,h,1500000,Barlow,28/05/2016,3018,1,929,,-37.8651,144.832
Altona,3,u,730000,Barlow,28/05/2016,3018,2,70,3,-37.868,144.8285
Altona,3,h,900000,Sweeney,28/05/2016,3018,1,697,,-37.871,144.8075
Altona,3,h,740000,Greg,28/08/2016,3018,1,604,,-37.8631,144.8195
Altona,4,h,931000,Sweeney,28/08/2016,3018,2,532,,-37.8637,144.8365
Altona,2,h,535600,Compton,30/07/2016,3018,1,154,91,-37.8646,144.8272
Altona North,5,h,1085000,FN,3/9/2016,3025,3,592,251,-37.8388,144.8567
Altona North,3,h,781000,Jas,3/9/2016,3025,1,533,117,-37.8291,144.835
Altona North,3,h,750000,Jas,4/3/2017,3025,1,554,,-37.8449,144.85
Altona North,2,t,421000,hockingstuart,4/3/2017,3025,1,77,77,-37.8351,144.8529
Altona North,3,h,1405000,Sweeney,4/3/2017,3025,1,655,,-37.8338,144.8562
Altona North,3,h,683000,FN,4/6/2016,3025,1,534,167,-37.8284,144.8355
Altona North,3,h,623000,Sweeney,4/6/2016,3025,1,540,,-37.8267,144.8368
Altona North,3,h,720000,Greg,6/8/2016,3025,2,0,130,-37.8379,144.8583
Altona North,3,h,588000,Williams,7/5/2016,3025,1,328,118,-37.838,144.8555
Altona North,3,h,710000,Village,7/11/2016,3025,1,540,116,-37.8294,144.8378
Altona North,4,h,875000,Jas,8/10/2016,3025,1,559,169,-37.8448,144.8529
Altona North,3,h,700000,Jas,10/12/2016,3025,1,554,,-37.8449,144.85
Altona North,2,t,640000,Williams,11/3/2017,3025,1,252,,-37.8397,144.8602
Altona North,4,h,650000,Williams,12/6/2016,3025,1,558,,-37.8451,144.8529
Altona North,3,h,675000,hockingstuart,14/05/2016,3025,2,171,109,-37.8337,144.8554
Altona North,3,h,708000,Greg,15/10/2016,3025,1,585,97,-37.8258,144.8523
Altona North,4,h,965000,Gunn&Co,15/10/2016,3025,1,851,,-37.8345,144.8444
Altona North,3,h,680000,Sweeney,19/11/2016,3025,1,551,,-37.8254,144.8514
Altona North,3,h,770000,hockingstuart,19/11/2016,3025,1,602,603,-37.8327,144.8451
Altona North,3,h,923000,Greg,22/05/2016,3025,1,740,,-37.8269,144.8455
Altona North,4,h,693000,Raine&Horne,22/05/2016,3025,2,315,170,-37.8391,144.8467
Altona North,3,h,620000,Hunter,22/08/2016,3025,2,276,100,-37.8262,144.8443
Altona North,3,h,728500,Jas,22/08/2016,3025,1,531,157,-37.8277,144.8385
Altona North,3,h,931000,hockingstuart,22/08/2016,3025,2,590,160,-37.8382,144.8649
Altona North,3,h,988000,Sweeney,22/08/2016,3025,1,715,,-37.8423,144.8632
Altona North,3,h,590000,Village,23/04/2016,3025,1,561,,-37.8444,144.8491
Altona North,2,h,610000,RT,24/09/2016,3025,1,691,,-37.834,144.8553
Altona North,3,h,815000,hockingstuart,25/02/2017,3025,2,555,130,-37.8318,144.8388
Altona North,4,h,970000,Greg,25/02/2017,3025,1,708,,-37.833,144.8494
Altona North,4,h,760000,Hunter,27/06/2016,3025,1,668,,-37.8262,144.8439
Altona North,4,t,847500,RT,27/06/2016,3025,3,252,,-37.8393,144.8568
Altona North,4,h,1200000,RT,27/11/2016,3025,1,633,158,-37.8375,144.8541
Altona North,3,h,700000,Hunter,27/11/2016,3025,1,557,,-37.8441,144.8505
Altona North,3,h,625000,Hunter,28/05/2016,3025,1,536,,-37.8285,144.8351
Altona North,2,u,292000,Jas,28/08/2016,3025,1,153,70,-37.8332,144.8649
Armadale,2,u,599000,Jellis,3/9/2016,3143,1,0,76,-37.8543,145.0262
Armadale,2,u,550000,Noel,3/12/2016,3143,1,861,,-37.8539,145.0284
Armadale,3,u,995000,Marshall,3/12/2016,3143,2,0,100,-37.8552,145.016
Armadale,3,t,1205000,Jellis,3/12/2016,3143,2,101,105,-37.854,145.0135
Armadale,3,h,1939000,Jellis,3/12/2016,3143,2,296,150,-37.8614,145.0274
Armadale,1,u,421500,Biggin,3/12/2016,3143,1,0,,-37.853,145.0167
Armadale,3,h,1870000,Hodges,4/3/2017,3143,1,217,116,-37.8592,145.0182
Armadale,2,u,678000,hockingstuart,4/3/2017,3143,1,0,,-37.8538,145.0127
Armadale,3,t,1918000,Jellis,4/3/2017,3143,2,0,165,-37.8537,145.0267
Armadale,2,u,660000,hockingstuart,4/3/2017,3143,1,0,,-37.8619,145.0257
Armadale,3,h,2050000,Marshall,4/3/2017,3143,2,205,116,-37.8574,145.0281
Armadale,2,u,700000,Jellis,4/6/2016,3143,1,0,,-37.8552,145.016
Armadale,2,u,3625000,Jellis,4/6/2016,3143,2,0,,-37.8555,145.0291
Armadale,4,h,3000000,Jellis,4/6/2016,3143,2,1581,,-37.858,145.0111
Armadale,5,h,1525000,Jellis,7/5/2016,3143,2,693,,-37.8638,145.0229
Armadale,3,u,735000,Marshall,7/5/2016,3143,2,2113,14,-37.8543,145.0262
Armadale,2,u,825000,Jellis,7/5/2016,3143,1,0,,-37.8528,145.0268
Armadale,3,t,1586000,RT,7/5/2016,3143,2,246,,-37.8566,145.0116
Armadale,2,u,645000,Marshall,8/10/2016,3143,1,0,,-37.8596,145.0198
Armadale,1,h,1435000,Jellis,8/10/2016,3143,2,144,107,-37.8564,145.0228
Armadale,1,u,280000,hockingstuart,10/9/2016,3143,1,0,38,-37.8619,145.0185
Armadale,1,u,400000,hockingstuart,10/12/2016,3143,1,0,,-37.8605,145.0185
Armadale,2,h,1780000,Marshall,10/12/2016,3143,2,0,,-37.8537,145.0267
Armadale,2,u,592500,hockingstuart,10/12/2016,3143,1,0,73,-37.8574,145.0174
Armadale,2,h,1210000,Marshall,12/11/2016,3143,1,249,96,-37.8543,145.016
Armadale,4,h,2801000,Marshall,12/11/2016,3143,2,624,222,-37.8536,145.0173
Armadale,1,u,390000,Jellis,14/05/2016,3143,1,881,,-37.8614,145.0222
Armadale,3,h,1800000,RT,15/10/2016,3143,2,405,121,-37.8545,145.0145
Armadale,4,h,2200000,Jellis,15/10/2016,3143,1,495,163,-37.8613,145.0264
Armadale,1,u,324000,Jellis,16/04/2016,3143,1,0,,-37.8537,145.0114
Armadale,6,h,5525000,Marshall,17/09/2016,3143,3,1491,516,-37.8602,145.013
Armadale,2,h,1125000,RT,17/09/2016,3143,1,169,,-37.851,145.0161
Armadale,3,h,2250000,Marshall,17/09/2016,3143,3,301,,-37.8511,145.0167
Armadale,3,h,2360000,hockingstuart,18/03/2017,3143,2,336,,-37.8558,145.015
Armadale,2,h,1900000,Jellis,18/03/2017,3143,2,207,,-37.8571,145.0224
Armadale,1,u,440000,Jellis,18/03/2017,3143,1,0,53,-37.8531,145.0115
Armadale,2,u,490000,Ray,18/06/2016,3143,1,0,,-37.8646,145.0247
Armadale,3,h,2365000,Marshall,18/06/2016,3143,2,316,,-37.8521,145.019
Armadale,3,h,1300000,Jellis,18/06/2016,3143,1,212,106,-37.8542,145.0149
Armadale,3,u,732000,Gary,18/06/2016,3143,2,0,,-37.8597,145.0104
Armadale,2,u,704000,Greg,19/11/2016,3143,1,0,74,-37.8573,145.0186
Armadale,2,u,620000,Marshall,19/11/2016,3143,1,0,98,-37.8596,145.0198
Armadale,3,h,1900000,Marshall,22/05/2016,3143,1,328,108,-37.8559,145.0158
Armadale,1,u,315000,Fletchers,22/08/2016,3143,1,0,,-37.8575,145.0174
Armadale,1,u,450000,hockingstuart,24/09/2016,3143,1,0,,-37.8509,145.0203
Armadale,2,u,710000,Jellis,25/02/2017,3143,1,2471,80,-37.8573,145.0186
Armadale,2,u,872000,Jellis,25/02/2017,3143,1,1194,,-37.8604,145.0147
Armadale,2,u,598000,hockingstuart,25/02/2017,3143,1,0,88,-37.8593,145.0156
Armadale,3,h,1285000,Marshall,25/02/2017,3143,1,186,80,-37.8554,145.0173
Armadale,4,h,3660000,Jellis,25/02/2017,3143,3,421,,-37.8593,145.0275
Armadale,2,u,520000,hockingstuart,27/06/2016,3143,1,0,76,-37.8618,145.0183
Armadale,4,h,3625000,Jellis,27/11/2016,3143,1,709,251,-37.8574,145.016
Armadale,4,h,4200000,Kay,27/11/2016,3143,3,563,333,-37.8582,145.0138
Armadale,3,t,1101000,Jellis,27/11/2016,3143,1,103,3,-37.8542,145.0135
Armadale,3,h,3512500,Marshall,27/11/2016,3143,2,617,285,-37.8557,145.0264
Armadale,4,h,2000000,Marshall,28/05/2016,3143,3,544,,-37.8611,145.0195
Armadale,3,u,869000,Jellis,28/05/2016,3143,1,0,91,-37.853,145.0264
Armadale,5,h,2810000,Marshall,28/08/2016,3143,2,617,,-37.8611,145.0271
Armadale,2,u,565000,Ray,28/08/2016,3143,1,0,,-37.8573,145.0112
Armadale,1,u,567000,hockingstuart,28/08/2016,3143,1,0,53,-37.8549,145.0113
Armadale,2,u,546000,hockingstuart,30/07/2016,3143,0,0,,-37.8568,145.0161
Armadale,2,u,471500,Ray,30/07/2016,3143,1,0,,-37.8503,145.0185
Ascot Vale,2,u,455000,Nelson,3/9/2016,3032,1,0,,-37.7756,144.9165
Ascot Vale,3,h,940000,Nelson,3/12/2016,3032,1,298,108,-37.7777,144.9195
Ascot Vale,2,u,467000,Brad,3/12/2016,3032,1,0,62,-37.7761,144.9201
Ascot Vale,3,h,1380000,Nelson,4/3/2017,3032,2,277,174,-37.7777,144.9221
Ascot Vale,2,u,490000,Jellis,4/3/2017,3032,1,423,62,-37.7736,144.9015
Ascot Vale,4,h,1850000,Brad,4/3/2017,3032,3,478,270,-37.7729,144.9179
Ascot Vale,3,h,1284000,Woodards,4/3/2017,3032,1,623,,-37.7758,144.9089
Ascot Vale,3,h,971000,Nelson,4/6/2016,3032,2,285,128,-37.775,144.9091
Ascot Vale,2,h,710000,Nelson,4/6/2016,3032,1,214,77,-37.7776,144.9142
Ascot Vale,6,h,2425000,Brad,4/6/2016,3032,3,1014,435,-37.7721,144.9184
Ascot Vale,2,h,750000,Maddison,4/6/2016,3032,1,226,92,-37.7745,144.9093
Ascot Vale,2,h,1053000,Nelson,6/8/2016,3032,1,269,109,-37.7748,144.929
Ascot Vale,3,h,1377000,Nelson,6/8/2016,3032,1,417,168,-37.7756,144.9208
Ascot Vale,3,h,970000,Brad,7/5/2016,3032,1,350,125,-37.7759,144.91
Ascot Vale,2,h,940000,Nelson,7/5/2016,3032,1,330,,-37.773,144.9049
Ascot Vale,2,h,751000,Nelson,7/5/2016,3032,1,118,79,-37.7807,144.9288
Ascot Vale,2,h,950000,Raine,7/5/2016,3032,1,173,102,-37.7731,144.9206
Ascot Vale,2,u,685000,Brad,7/11/2016,3032,1,228,90,-37.7718,144.9066
Ascot Vale,3,h,1230000,Nelson,8/10/2016,3032,1,594,148,-37.7819,144.9064
Ascot Vale,2,h,636500,Jellis,8/10/2016,3032,1,0,,-37.7738,144.9345
Ascot Vale,3,h,910000,Raine,8/10/2016,3032,1,317,,-37.7746,144.9112
Ascot Vale,2,h,770000,Nelson,10/9/2016,3032,1,226,87,-37.7774,144.9186
Ascot Vale,3,h,960000,Walshe,10/12/2016,3032,2,229,,-37.7778,144.9065
Ascot Vale,4,h,890000,Raine,10/12/2016,3032,1,300,185,-37.7766,144.9143
Ascot Vale,2,h,965000,Nelson,10/12/2016,3032,1,170,,-37.7732,144.9206
Ascot Vale,3,h,1440000,Nelson,11/2/2017,3032,1,487,131,-37.7725,144.9146
Ascot Vale,2,h,955000,Woodards,11/3/2017,3032,1,255,,-37.7825,144.9208
Ascot Vale,2,u,450000,Nelson,12/11/2016,3032,1,0,,-37.7731,144.9074
Ascot Vale,3,h,801000,Jellis,12/11/2016,3032,1,431,,-37.781,144.9207
Ascot Vale,3,h,1000000,Brad,12/11/2016,3032,2,440,120,-37.7746,144.9031
